Title,Filenames
"Attitude Determination and Control for a Spacecraft with
Unreliable State Measurements",063.pdf
Multi-Stage Adaptive Inference with Cascaded Models: A POMDP Formulation,064.pdf
Pedagogical Bandits: Online Curriculum Learning for Knowledge Distillation,065.pdf
Dynamic Frequency Band Selection for Radar Operation in the Presence of Interference,066.pdf
Inside the Black Box: Bayesian Networks for Contextual Bandit Modeling,067.pdf
UAV Swarm Control Under Uncertainty,068.pdf
Action-Masked Deep RL for Complex Card Game Environments: A Hearts Case Study,069.pdf
RL Options Trading Strategies,070.pdf
Ability of DQN Model to Learn Theory of Mind when Playing Hanabi,071.pdf
Optimized helicopter ambulance routing for stroke patients,072.pdf
 Hormone-informed Training Strategies for Female Athletes,073.pdf
Daily Task Scheduler,074.pdf
TikTokRL: Optimizing for TikTok Engagement,075.pdf
Analysis of Q-Learning and POMDP Frameworks for Optimal Poker Strategies,076.pdf
Dealer's Dilemma - Learning To Play Dealer's Choice Poker,077.pdf
Cracking the Connections Game,078.pdf
Pandemic Policy Planning in a Noncompliant Population,079.pdf
Learning the Art of Persuasion with Online Dialog Policy Planning,080.pdf
POMDP Navigation performance for Orienteering,081.pdf
"Pick Your Poison: Navigating the Paris Public Transportation System Using Monte Carlo Tree Search
",082.pdf
Reward Prediction Error Under Uncertainty,083.pdf
ASTPrompterRoll,084.pdf
The Dual Mandate: Modelling Inflation and Unemployment Uncertainty from Setting the Federal Funds Rate,085.pdf
Using Regression Gradients to Optimize a Simple Policy for Mahjong​,086.pdf
Adaptive Strategy Optimization for 2048 Using Reinforcement Learning,087.pdf
"Modeling Renewable Energy Transitions as a Markov Decision Process:
A Q-Learning approach to minimizing fossil-fuel reliance while meeting energy demands",088.pdf
"Optimizing Retail Pricing Strategies with
Reinforcement Learning: A Markov Decision
Process Approach",089.pdf
Optimizing Electricity Futures Trading with Reinforcement Learning and Deep Learning Driven Price Forecasting,090.pdf
Turning Pages with Reinforcement: A Markov Decision Process Approach to Book Recommendation,091.pdf
Evade me if you can!!,092.pdf
ADVERSARIAL AUTONOMOUS DRIVERS ON THE YAS MARINA CIRCUIT,093.pdf
Autonomous Cruise with Markov Decision Processes,094.pdf
Learning Greenification Policies using Markov Decision Processes,095.pdf
Can We Improve Educational Intervention Timing with an MDP?,096.pdf
Decentralized Earth Observation Planning in Satellite Constellations,097.pdf
Optimizing Cabo Strategy with Monte Carlo Tree Search Applied to a Novel Game Engine,098.pdf
Gobbling Up Decisions: Optimizing Pacman Strategy with MDPs,099.pdf
Data-Driven Hurricane Evacuation Policy Optimization,100.pdf
Modeling Human Behavior in Poker,101.pdf
Leveraging Q-Learning for Uncertainty within Medical Diagnosis,102.pdf
Policy Learning for War: Modeling the Modified War Card Game with Markov Decision Processes,103.pdf
Algorithmic Trading for IMC Prosperity 2,104.pdf
"Dual-Agent Reinforcement Learning for Strategy Optimization in Gomoku
",105.pdf
A Decision-Making Model of Multi-target Reaching in Motor Neuroscience,106.pdf
Guess Who Wins Guess Who?,107.pdf
Cool Maze Searcher - Reinforcement Learning in 3D Robot Maze Navigation,108.pdf
Discovering Protein Complexes in Protein Interaction Networks Using Q-Learning,109.pdf
Generalized Motion Prediction,110.pdf
Implementing Q-learning to Optimize Preflop Poker,111.pdf
The Pupper Parkour Challenge and a theoretical framework for hierarchical decision making,112.pdf
Website Engagement,113.pdf
Single- and Multi-Agent Approaches to Equitable MELD-Driven Liver Allocation,114.pdf
Online Path-Planning for Terrain Navigation Using MCTS,115.pdf
Ear Training Suite for Music Students,116.pdf
The Candy Crusher,117.pdf
Heads Up Deep Q Hold-em,118.pdf
AlphaZero Continuous for Car Lateral Control,119.pdf
Mineswept,120.pdf
Modeling Mafia with Q-Learning,121.pdf
Reinforcement Learning Agent for Cine2Nerdle: A Graph-Based Approach,122.pdf
Lima’s Traffic Management Using POMDPs: A Q-Learning Approach for Efficient Control of Urban Traffic Lights,123.pdf
Optimizing Strategy for Catching Pokémon in the Safari Zone Minigame,124.pdf
"Sequential Decision-Making for Medical Image Diagnosis
under Uncertainty",125.pdf
Mastering Pong with Deep Q-Learning,126.pdf
"""Monkey!"": Blackjack Decision-Making Agent",127.pdf
POMDP Knowledge Tracing,128.pdf
Play Gomoku Game with Deep Q-Networks,129.pdf
Stock trading with deep q-learning,130.pdf
Reducing Patient No-Shows through Q-Learning Optimized Scheduling,131.pdf
POMDPs for Cervical Cancer Screening,132.pdf
Exploration and Resource Optimization for Autonomous Rover Missions,133.pdf
Application of Reinforcement Learning in Modern Art Game,134.pdf
Q-Learning-Driven Actuation for High-Precision Space Trusses,135.pdf
Developing an AI Agent for Strategic Decision Making in Pokémon Battles Under Uncertainty,136.pdf
Anticipating the Odds: A Lookahead Method for Blackjack Actor Development,137.pdf
Q-Learning for Multi-Modal Seaglider Control,138.pdf
Crack The Board,139.pdf
Navigating the Star Wars: Deep Reinforcement Learning for Competitive Team Battles!,140.pdf
Q-Learning and Model Predictive Control for Drone Wildfire Response,141.pdf
To GNN or to LLM? That is a Risk(y) Question,142.pdf
Multi-Robot Path Planning in a Grid World,143.pdf
Drone Pathfinding,144.pdf
"Ad-ventures in Bidding: Agents, Bids, and the Fight for Clicks",145.pdf
Adapting Transit Schedules to Daily Ridership Patterns using SARSA,146.pdf
Over(Q)ooked: Developing Q-Learning Agents for Overcooked,147.pdf
A Study of the AlphaZero Framework Applied to Xiangqi,148.pdf
Best Carpet Seller in Marrakech,149.pdf
Training an Up'N Down Agent with DDQN,150.pdf
Optimal Strategies in Penalty Shootouts,151.pdf
99 Ways to Win Ninety-Nine,152.pdf
Can Q-Learning Learn You-Learning? Reinforcement Learning for Adaptive Quizzing,153.pdf
Q-Learning for NFL Play Calling,154.pdf
TSUD: Enhancing Stereo Matching Accuracy through Training on Small Uncertainty Data,155.pdf
Saccading Through A Visual Scene,156.pdf
Employing Monte Carlo Tree Search for Aircraft Collision Avoidance during Temporary Flight Restrictions,157.pdf
Reinforcement Wars: Will the Airline or the Passenger Win the Pricing Game?,158.pdf
Stock Trading is an MDP: The Importance of State Space Complexity,159.pdf
RL & Blackjack,160.pdf
Optimizing Rspiratory Management using Markov Decision Processes: A Reinforcement Learning Approach on the MIMIC-IV Dataset,161.pdf
Playing with Fireworks: Optimizing Agent Strategy Under Uncertainty in Hanabi,162.pdf
Building Renewable Energy Grids using Monte Carlo Tree Search and Karger's Algorithm,163.pdf
Fruitful Learning: Applying RL Algorithms to Suika Game,164.pdf
"Learning Speed-Based Binning for CMA Optimization in Walking Prosthetics
",165.pdf
Applying MDPs and POMDPs to Enhance Decision-Making in Mario Party,166.pdf
Bayesian Range Estimation in Heads-Up Poker,167.pdf
ORRCA: Online Reinforcement for Rapid Cache Adaptation,168.pdf
A Love Letter to Game Playing,169.pdf
Q-art Pole,170.pdf
Blokus Bot (Botkus? Blobotkus?),171.pdf
"Building No-Limit Texas Hold
‘Em Poker Agents
with Deep Q-Learning and 
Proximal Policy Optimization",172.pdf
Learning Cribbage using a Two-Phase Model,173.pdf
"Water Contract Purchasing Policies for Drought Resilience
in Santiago, Chile",174.pdf
Reinforcement Learning Stacking Strategy for Stock Trading,175.pdf
Solving Plants vs Zombies with Monte Carlo Tree Search,176.pdf
Optimized Satellite Acquisition for Precise LEO GPS Positioning,177.pdf
Managing Power Grids During Hurricanes Using Probabilistic Decision-Making,178.pdf
Forward Search Agent for 'Fantastic Bits' Game,179.pdf
Keeping the Lights On for Campus: Using Deep Q-Learning and MDPs for Discrete and Continuous Micro-Energy Grid Optimization,180.pdf
Connect Four Conundrum,181.pdf
Fast Speculative Decoding using MDPs for Efficient Token Drafting,182.pdf
Lunar Landing,183.pdf
Molecules as a Language,184.pdf
Transportation Network Maintenance Planning with Reinforcement Learning,185.pdf
RoboDelivery: A Q-Learning Approach to Autonomous Package Distribution,186.pdf
Blackjack: Playing Optimally Through Q-Learning,187.pdf
MARLCar: Single- vs. Multi-Agent Reinforcement Learning in Car Racing,188.pdf
Ataxx of the Monte Carlo: Online and Offline Learning Strategies for an Arcade Game,189.pdf
Going Bananas for Uncertainty: Creating a Bananagrams Agent with MCTS,190.pdf
Autonomous Lunar Landing with Deep Q-Learning,191.pdf
QRaFT: Quantitative and Risk-Adjusted Framework for Algorithmic Trading,192.pdf
Navigating drones in an 3D minefield,193.pdf
Settling On A Better Method for Training Catan-Playing Agents,194.pdf
Reinforcement Learning Balancing of an Inverted Pendulum to any Degree,195.pdf
RL For Self Guided Rocket Landings,196.pdf
When to Assist and Retrain? Learning Policies for Algorithmic Decision Support,197.pdf
Investigating Mathematical Reasoning in Smaller Language Models using Likelihood Ratio Policy Gradient Updates and Beam Search,198.pdf
Euchre Bot,199.pdf
A Markov-Based Approach to Evaluate the Optimal Position of Zeposia in the Treatment of Ulcerative Colitis,200.pdf
Reinforcement Learning Agents for Settlers of Caton Using PPO,201.pdf
Wheel of Fortune as a POMDP,202.pdf
Optimal Agricultural Decisions Using Q-Learning,203.pdf
Short-Term Memory for Partially Observable Markov Games,204.pdf
"Multi-Method Learning Approaches to Codenames: A Comparative Study of MCTS, Fast Informed Bounds, and Policy Gradient Methods",205.pdf
"Playing Regicide: Optimal Game Play in Uncertain
Environments",206.pdf
Introspection for LLM Sampling,207.pdf
"Optimizing Uno with Forward Search RL
",208.pdf
"Kidney Matching: A Reinforcement Learning Approach
",209.pdf
What the Heck is Optimal: MCTS and Q-Learning for Strategic Bidding,210.pdf
"Adaptive Path Planning for Urban Drone Delivery Under
Uncertainty",211.pdf
Dynamical Tasks Planner,212.pdf
Graph Reinforcement Learning for the Traveling Salesman Problem with Stochastic Travel Times,213.pdf
PERLHF: Parameter Efficient Reinforcement Learning from Human Feedback,214.pdf
Satellite Task Scheduling using Markov Decision Process,215.pdf
Beyond Luck: Optimal Briscola Strategies via Deep Reinforcement Learning,216.pdf
Rat-AI-touille: Enhancing Multi-Agent Collaboration in Overcooked-AI with Communication,217.pdf
Stranded on a Grid: Modeling NYT Strands as an MDP and Solving with MCTS,218.pdf
Meow-kov Decisions: Reward Functions for an Exploding Kittens MDP,219.pdf
Trajectory Planning in Unknown Environment,220.pdf
Settling the Odds: AI Agents in Catan,221.pdf
SupeRL Mario Bros,222.pdf
"Actor-Critic Meta Gradient Learning for Classic
Control Environments",223.pdf
Freshman Year Class Selection as an MDP,224.pdf
"Tiny Brains, Big Gains: Enhancing Multi-Step Reasoning in Compact Models with Branch and Bound",225.pdf
Monadic Hierarchical Planning in Tactical Simulations: A Q-Learning Framework for Strategic Unit Composition and Placement,226.pdf
WORDLE Solver,227.pdf
Adaptive Stock Trading with Reinforcement Learning,228.pdf
Maestro: Composing Music with Q-Learning,229.pdf
"Beyond The Zillow Z-Estimate: PPO-Driven Reinforcement
Learning for Long-Term Real Estate Portfolio Management",230.pdf
Decision Making Under Uncertainty in Secret Hitler,231.pdf
Reinforcement Learning Algorithms for Connect 4,232.pdf
Deep Reinforcement Learning in Robot Object Stacking,233.pdf
Q-Learning for Blackjack: Simulation and Strategy Optimization,234.pdf
Computational Approaches to Optimize HIV Treatment Strategies Using Synthetic Data,235.pdf
INVENTORY MANAGEMENT WITH Q-LEARNING AND DEEP Q-NETWORKS,236.pdf
MDP is All You Need,237.pdf
Robust Pre-Computed Autonomy for Enceladus Orbilander,238.pdf
Fresh Pages: Dynamic Book Recommendation for Genre Exploration using Monte Carlo Tree Search,239.pdf
Dynamic Optimization and Balancing of Winning Strategies in Mahjong Using MCTS,240.pdf
"Parkd: Model Free RL for Truck Parking Optimization
",241.pdf
Catan Conqueror: Building Bots to Rule the Island,242.pdf
Diagnostic Imaging in Radiology: Developing a Deep Learning Decision Support Tool,243.pdf
BookFind: A Novel Recommendation Algorithm using Markov Decision Processes,244.pdf
Solving Blackjack with An Infinite Deck with Reinforcement Learning,245.pdf
Tactile Graphics Exploration as a POMDP,246.pdf
Viewing Hyperparameter Tuning as a Sequential Decision-Making Problem,247.pdf
Reinforcement Learning with Time Travel,248.pdf
AI Want to Be The Very Best,249.pdf
Crafting Basketball Strategies with Reinforcement Learning,250.pdf
Baba Is Who? Using Q-Learning to Categorize Human Learning in a Puzzle Game (almost),251.pdf
The Optimal Dating Path,252.pdf
Reinforcement Earning: RL-based Algorithmic Trading,253.pdf
Navigating the Lunar Surface under Low Visibility Conditions,254.pdf
Optimization of Blackjack Strategies Using Reinforcement Learning,255.pdf
Securing Carbon Geological Storage: A Sequential Decision Approach for CO2 Monitoring and Leak Detection,256.pdf
Investment Decision Making,257.pdf
WiLDCARD: Winning Liar's Dice with Calculative Agents and Reinforced Decision-Making,258.pdf
Playing Battleship Game with Deep Reinforcement Learning,259.pdf
"Slithering into Smarter Solutions: Winning at SNAKE
",260.pdf
Deep Q-learning on 3D 2048,261.pdf
Decision-Making for a Two-Agent Adversarial Game,262.pdf
Robust Path-Planning for Autonomous Drones,263.pdf
Finding the 근 (Root) of 바둑 (Go),264.pdf
Investigating Emergent Behavior from Socially Inspired Reward Parameters in Iterated Prisoner's Dilemma,265.pdf
Pitch Perfect: Optimizing Baseball Pitch Selection With Reinforcement Learning,266.pdf
Q-Learning for the Secretary Problem,267.pdf
Unbeatable Checkers Bot 9000,268.pdf
Deep Q-Networks with Snake,269.pdf
Hanabi RL Agent,270.pdf
Adaptive Satellite Selection for GNSS Tracking Using Reinforcement Learning,271.pdf
Optimal Water Allocation Strategies,272.pdf
"Shoot First, Think Later? Optimizing Soccer Decision Making with MDPs",273.pdf
Autonomous Intersection Control with Monte Carlo tree search,274.pdf
Optimizing Decision-Making in Open Face Chinese Poker Using Monte Carlo Tree Search,275.pdf
Optimal Policies for Competition Power-Off Landings in Varying Wind Conditions with Markov Decision Processes,276.pdf
